Year,Rank,Title,Author,Review,Description,Price,Tags,Ratings,Genre,barcode,publisher,date
2020,1,더 해빙(The Having)(40만부 기념 리커버 에디션)(양장본 HardCover),이서윤,1231,부와 행운을 끌어당기는 힘,"14,400",심리학 뇌과학 구루 고전 퀀텀 행운 ,8.8,"['국내도서', '자기계발', '성공/처세', '자기관리/처세']",9791190382175,수오서재,2020년 03월 01일 출간
2020,2,돈의 속성(150쇄 기념 에디션),김승호,813,최상위 부자가 말하는 돈에 대한 모든 것,"15,120",부자되는법 종잣돈 맨손 부자 경제철학 주라 ,9.2,"['국내도서', '경제/경영', '재테크/금융', '재테크', '부자되는법']",9791188331796,스노우폭스북스,2020년 06월 15일 출간
2020,3,아몬드(양장본 HardCover),손원평,1238,손원평 장편소설,"10,800",청소년소설 소설 감정 타인 윤재 캐릭터 ,9.3,"['국내도서', '소설', '한국소설', '한국소설일반']",9788936434267,창비,2017년 03월 31일 출간
2020,4,하버드 상위 1퍼센트의 비밀(리커버 에디션),정주영,751,신호를 차단하고 깊이 몰입하라,"14,400",자기관리 용기 월스트리트 키신저 차단 신념 ,9.1,"['국내도서', '자기계발', '성공/처세', '자기관리/처세']",9788947544085,한국경제신문,2018년 10월 17일 출간
2020,5,지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,705,지혜를 찾아 138억 년을 달리는 시간 여행서,"17,820",미러 인문교양 밀리언셀러 인문사회 제로 우파니샤드 ,9.2,"['국내도서', '인문', '인문학일반', '지식과학문']",9791190313131,웨일북(whalebooks),2019년 12월 24일 출간
2020,6,존리의 부자되기 습관(20만부 기념 리커버 에디션),존 리,471,대한민국 경제독립 액션 플랜,"13,500",경제 주식투자 빈곤 투자방법 노후 준비 노인 ,8.8,"['국내도서', '경제/경영', '재테크/금융', '재테크', '부자되는법']",9791187481720,지식노마드,2020년 01월 15일 출간
2020,7,주식투자 무작정 따라하기(2020)(개정판),윤재수,550,100만 왕초보가 감동한 최고의 주식투자 입문서,"16,200",초보투자자 가치 투자 시장 환경 거래량 기업 가치 개미 ,9.2,"['국내도서', '경제/경영', '재테크/금융', '주식/증권', '주식투자']",9791165210144,길벗,2020년 01월 10일 출간
2020,8,흔한남매. 3(양장본 HardCover),흔한남매 (원작),896,,"10,800",유튜브 만화 에이미 으뜸 코믹 코믹북 ,9.6,"['국내도서', '어린이(초등)', '어린이만화', '만화/애니메이션', '만화일반']",9791164134267,미래엔아이세움,2020년 01월 09일 출간
2020,9,해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,739,주제별 연상암기로 토익 영단어 30일 완성!,"11,610",빈출 단어 영어학습 영어공부 신유 핵심 단어 단어 학습 ,9.6,"['국내도서', '외국어', '수험영어', '토익(Toeic)', '단어/어휘']",9788965422785,해커스어학연구소,2020년 03월 05일 출간(1쇄 2019년 01월 02일)
2020,10,내가 원하는 것을 나도 모를 때,전승환,503,잃어버린 나를 찾는 인생의 문장들,"14,400",위로 에세이 인생 사랑 인문 이해인 ,9,"['국내도서', '인문', '인문학일반', '인문교양']",9791130627878,다산초당,2020년 01월 08일 출간
